Sexo;Divisiones de la CNAE-09;Componentes del salario bruto anual;Periodo;Total
Mujeres;50 Transporte marítimo y por vías navegables interiores;Valoración en especie;2022;-102,28
Mujeres;50 Transporte marítimo y por vías navegables interiores;Salario ordinario;2022;-23.266,66
Mujeres;51 Transporte aéreo;Salario bruto;2022;36.806,02
Mujeres;51 Transporte aéreo;Pagos extraordinarios;2022;2.531,58
Mujeres;51 Transporte aéreo;Valoración en especie;2022;622,25
Mujeres;51 Transporte aéreo;Salario ordinario;2022;33.652,19
Mujeres;52 Almacenamiento y actividades anexas al transporte;Salario bruto;2022;28.198,93
Mujeres;52 Almacenamiento y actividades anexas al transporte;Pagos extraordinarios;2022;3.142,29
Mujeres;52 Almacenamiento y actividades anexas al transporte;Valoración en especie;2022;257,43
Mujeres;52 Almacenamiento y actividades anexas al transporte;Salario ordinario;2022;24.799,21
Mujeres;53 Actividades postales y de correos;Salario bruto;2022;22.501,62
Mujeres;53 Actividades postales y de correos;Pagos extraordinarios;2022;2.236,35
Mujeres;53 Actividades postales y de correos;Valoración en especie;2022;29,8
Mujeres;53 Actividades postales y de correos;Salario ordinario;2022;20.235,47
Mujeres;55 Servicios de alojamiento;Salario bruto;2022;20.005,33
Mujeres;55 Servicios de alojamiento;Pagos extraordinarios;2022;1.375,57
Mujeres;55 Servicios de alojamiento;Valoración en especie;2022;145,09
Mujeres;55 Servicios de alojamiento;Salario ordinario;2022;18.484,67
Mujeres;56 Servicios de comidas y bebidas;Salario bruto;2022;13.418,95
Mujeres;56 Servicios de comidas y bebidas;Pagos extraordinarios;2022;632,73
Mujeres;56 Servicios de comidas y bebidas;Valoración en especie;2022;81,16
Mujeres;56 Servicios de comidas y bebidas;Salario ordinario;2022;12.705,06
Mujeres;58 Edición;Salario bruto;2022;32.016,04
Mujeres;58 Edición;Pagos extraordinarios;2022;3.531,07
Mujeres;58 Edición;Valoración en especie;2022;308,3
Mujeres;58 Edición;Salario ordinario;2022;28.176,67
Mujeres;59 Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical;Salario bruto;2022;29.178,7
Mujeres;59 Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical;Pagos extraordinarios;2022;2.531,89
Mujeres;59 Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical;Valoración en especie;2022;175,47
Mujeres;59 Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical;Salario ordinario;2022;26.471,34
Mujeres;60 Actividades de programación y emisión de radio y televisión;Salario bruto;2022;43.531,1
Mujeres;60 Actividades de programación y emisión de radio y televisión;Pagos extraordinarios;2022;6.039,05
Mujeres;60 Actividades de programación y emisión de radio y televisión;Valoración en especie;2022;288,37
Mujeres;60 Actividades de programación y emisión de radio y televisión;Salario ordinario;2022;37.203,68
Mujeres;61 Telecomunicaciones;Salario bruto;2022;40.631,05
Mujeres;61 Telecomunicaciones;Pagos extraordinarios;2022;6.565,83
Mujeres;61 Telecomunicaciones;Valoración en especie;2022;723,97
Mujeres;61 Telecomunicaciones;Salario ordinario;2022;33.341,25
Mujeres;62 Programación, consultoría y otras actividades relacionadas con la informática;Salario bruto;2022;33.884,13
Mujeres;62 Programación, consultoría y otras actividades relacionadas con la informática;Pagos extraordinarios;2022;2.875,95
Mujeres;62 Programación, consultoría y otras actividades relacionadas con la informática;Valoración en especie;2022;432,23
Mujeres;62 Programación, consultoría y otras actividades relacionadas con la informática;Salario ordinario;2022;30.575,95
Mujeres;63 Servicios de información;Salario bruto;2022;30.414,73
Mujeres;63 Servicios de información;Pagos extraordinarios;2022;2.724,19
Mujeres;63 Servicios de información;Valoración en especie;2022;216,39
Mujeres;63 Servicios de información;Salario ordinario;2022;27.474,15
Mujeres;64 Servicios financieros, excepto seguros y fondos de pensiones;Salario bruto;2022;50.346,2
Mujeres;64 Servicios financieros, excepto seguros y fondos de pensiones;Pagos extraordinarios;2022;8.498,83
Mujeres;64 Servicios financieros, excepto seguros y fondos de pensiones;Valoración en especie;2022;731,24
Mujeres;64 Servicios financieros, excepto seguros y fondos de pensiones;Salario ordinario;2022;41.116,13
Mujeres;65 Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;Salario bruto;2022;38.247,04
Mujeres;65 Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;Pagos extraordinarios;2022;4.771,04
Mujeres;65 Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;Valoración en especie;2022;906,13
Mujeres;65 Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;Salario ordinario;2022;32.569,87
Mujeres;66 Actividades auxiliares a los servicios financieros y a los seguros;Salario bruto;2022;26.381,85
Mujeres;66 Actividades auxiliares a los servicios financieros y a los seguros;Pagos extraordinarios;2022;2.921,28
Mujeres;66 Actividades auxiliares a los servicios financieros y a los seguros;Valoración en especie;2022;278,73
Mujeres;66 Actividades auxiliares a los servicios financieros y a los seguros;Salario ordinario;2022;23.181,84
Mujeres;68 Actividades inmobiliarias;Salario bruto;2022;23.538,96
Mujeres;68 Actividades inmobiliarias;Pagos extraordinarios;2022;2.260,7
Mujeres;68 Actividades inmobiliarias;Valoración en especie;2022;134,02
Mujeres;68 Actividades inmobiliarias;Salario ordinario;2022;21.144,24
Mujeres;69 Actividades jurídicas y de contabilidad;Salario bruto;2022;24.367,09
Mujeres;69 Actividades jurídicas y de contabilidad;Pagos extraordinarios;2022;2.599,4
Mujeres;69 Actividades jurídicas y de contabilidad;Valoración en especie;2022;140,99
Mujeres;69 Actividades jurídicas y de contabilidad;Salario ordinario;2022;21.626,7
Mujeres;70 Actividades de las sedes centrales, actividades de consultoría de gestión empresarial;Salario bruto;2022;28.039,23
Mujeres;70 Actividades de las sedes centrales, actividades de consultoría de gestión empresarial;Pagos extraordinarios;2022;2.756,32
Mujeres;70 Actividades de las sedes centrales, actividades de consultoría de gestión empresarial;Valoración en especie;2022;266,53
Mujeres;70 Actividades de las sedes centrales, actividades de consultoría de gestión empresarial;Salario ordinario;2022;25.016,38
Mujeres;71 Servicios técnicos de arquitectura e ingeniería, ensayos y análisis técnicos;Salario bruto;2022;29.122,14
Mujeres;71 Servicios técnicos de arquitectura e ingeniería, ensayos y análisis técnicos;Pagos extraordinarios;2022;2.276,42
Mujeres;71 Servicios técnicos de arquitectura e ingeniería, ensayos y análisis técnicos;Valoración en especie;2022;166,74
Mujeres;71 Servicios técnicos de arquitectura e ingeniería, ensayos y análisis técnicos;Salario ordinario;2022;26.678,98
Mujeres;72 Investigación y desarrollo;Salario bruto;2022;34.375,27
Mujeres;72 Investigación y desarrollo;Pagos extraordinarios;2022;3.213,71
Mujeres;72 Investigación y desarrollo;Valoración en especie;2022;156,92
Mujeres;72 Investigación y desarrollo;Salario ordinario;2022;31.004,64
Mujeres;73 Publicidad y estudios de mercado;Salario bruto;2022;26.663,3
Mujeres;73 Publicidad y estudios de mercado;Pagos extraordinarios;2022;2.273,09
Mujeres;73 Publicidad y estudios de mercado;Valoración en especie;2022;272,88
Mujeres;73 Publicidad y estudios de mercado;Salario ordinario;2022;24.117,33
Mujeres;74 Otras actividades profesionales, científicas y técnicas;Salario bruto;2022;25.228,17
Mujeres;74 Otras actividades profesionales, científicas y técnicas;Pagos extraordinarios;2022;2.515,71
Mujeres;74 Otras actividades profesionales, científicas y técnicas;Valoración en especie;2022;176,28
Mujeres;74 Otras actividades profesionales, científicas y técnicas;Salario ordinario;2022;22.536,18
Mujeres;75 Actividades veterinarias;Salario bruto;2022;17.058
Mujeres;75 Actividades veterinarias;Pagos extraordinarios;2022;835,18
Mujeres;75 Actividades veterinarias;Valoración en especie;2022;16,07
Mujeres;75 Actividades veterinarias;Salario ordinario;2022;16.206,75
Mujeres;77 Actividades de alquiler;Salario bruto;2022;23.857,33
Mujeres;77 Actividades de alquiler;Pagos extraordinarios;2022;2.992,18
Mujeres;77 Actividades de alquiler;Valoración en especie;2022;257,99
Mujeres;77 Actividades de alquiler;Salario ordinario;2022;20.607,16
Mujeres;78 Actividades relacionadas con el empleo;Salario bruto;2022;18.791,09
Mujeres;78 Actividades relacionadas con el empleo;Pagos extraordinarios;2022;907,96
Mujeres;78 Actividades relacionadas con el empleo;Valoración en especie;2022;57,33
Mujeres;78 Actividades relacionadas con el empleo;Salario ordinario;2022;17.825,8
Mujeres;79 Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos;Salario bruto;2022;24.757,18
Mujeres;79 Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos;Pagos extraordinarios;2022;2.538,56
Mujeres;79 Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos;Valoración en especie;2022;101,02
Mujeres;79 Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos;Salario ordinario;2022;22.117,6
Mujeres;80 Actividades de seguridad e investigación;Salario bruto;2022;20.740,38
Mujeres;80 Actividades de seguridad e investigación;Pagos extraordinarios;2022;1.399,97
Mujeres;80 Actividades de seguridad e investigación;Valoración en especie;2022;40,79
Mujeres;80 Actividades de seguridad e investigación;Salario ordinario;2022;19.299,62
Mujeres;81 Servicios a edificios y actividades de jardinería;Salario bruto;2022;12.857,3
Mujeres;81 Servicios a edificios y actividades de jardinería;Pagos extraordinarios;2022;1.330,63
Mujeres;81 Servicios a edificios y actividades de jardinería;Valoración en especie;2022;27,31
Mujeres;81 Servicios a edificios y actividades de jardinería;Salario ordinario;2022;11.499,36
Mujeres;82 Actividades administrativas de oficina y otras actividades auxiliares a las empresas;Salario bruto;2022;20.141,53
Mujeres;82 Actividades administrativas de oficina y otras actividades auxiliares a las empresas;Pagos extraordinarios;2022;1.578,72
Mujeres;82 Actividades administrativas de oficina y otras actividades auxiliares a las empresas;Valoración en especie;2022;157,39
Mujeres;82 Actividades administrativas de oficina y otras actividades auxiliares a las empresas;Salario ordinario;2022;18.405,42
Mujeres;84 Administración Pública y defensa, Seguridad Social obligatoria;Salario bruto;2022;32.272,17
Mujeres;84 Administración Pública y defensa, Seguridad Social obligatoria;Pagos extraordinarios;2022;2.951,9
Mujeres;84 Administración Pública y defensa, Seguridad Social obligatoria;Valoración en especie;2022;24,11
Mujeres;84 Administración Pública y defensa, Seguridad Social obligatoria;Salario ordinario;2022;29.296,16
Mujeres;85 Educación;Salario bruto;2022;28.258,5
Mujeres;85 Educación;Pagos extraordinarios;2022;2.015,51
Mujeres;85 Educación;Valoración en especie;2022;40
Mujeres;85 Educación;Salario ordinario;2022;26.202,99
Mujeres;86 Actividades sanitarias;Salario bruto;2022;34.317,23
Mujeres;86 Actividades sanitarias;Pagos extraordinarios;2022;2.698,9
Mujeres;86 Actividades sanitarias;Valoración en especie;2022;20,05
Mujeres;86 Actividades sanitarias;Salario ordinario;2022;31.598,28
Mujeres;87 Asistencia en establecimientos residenciales;Salario bruto;2022;18.266,24
Mujeres;87 Asistencia en establecimientos residenciales;Pagos extraordinarios;2022;1.439,19
Mujeres;87 Asistencia en establecimientos residenciales;Valoración en especie;2022;24,91
Mujeres;87 Asistencia en establecimientos residenciales;Salario ordinario;2022;16.802,14
Mujeres;88 Actividades de servicios sociales sin alojamiento;Salario bruto;2022;16.952,19
Mujeres;88 Actividades de servicios sociales sin alojamiento;Pagos extraordinarios;2022;1.332,64
Mujeres;88 Actividades de servicios sociales sin alojamiento;Valoración en especie;2022;12,9
Mujeres;88 Actividades de servicios sociales sin alojamiento;Salario ordinario;2022;15.606,65
Mujeres;90 Actividades de creación, artísticas y espectáculos;Salario bruto;2022;25.444,01
Mujeres;90 Actividades de creación, artísticas y espectáculos;Pagos extraordinarios;2022;2.227,06
Mujeres;90 Actividades de creación, artísticas y espectáculos;Valoración en especie;2022;33,05
Mujeres;90 Actividades de creación, artísticas y espectáculos;Salario ordinario;2022;23.183,9
Mujeres;91 Actividades de bibliotecas, archivos, museos y otras actividades culturales;Salario bruto;2022;24.347,45
Mujeres;91 Actividades de bibliotecas, archivos, museos y otras actividades culturales;Pagos extraordinarios;2022;2.388,53
Mujeres;91 Actividades de bibliotecas, archivos, museos y otras actividades culturales;Valoración en especie;2022;126,95
Mujeres;91 Actividades de bibliotecas, archivos, museos y otras actividades culturales;Salario ordinario;2022;21.831,97
Mujeres;92 Actividades de juegos de azar y apuestas;Salario bruto;2022;20.591,37
Mujeres;92 Actividades de juegos de azar y apuestas;Pagos extraordinarios;2022;2.144,17
Mujeres;92 Actividades de juegos de azar y apuestas;Valoración en especie;2022;40,02
Mujeres;92 Actividades de juegos de azar y apuestas;Salario ordinario;2022;18.407,18
Mujeres;93 Actividades deportivas, recreativas y de entretenimiento;Salario bruto;2022;13.781,6
Mujeres;93 Actividades deportivas, recreativas y de entretenimiento;Pagos extraordinarios;2022;752,04
Mujeres;93 Actividades deportivas, recreativas y de entretenimiento;Valoración en especie;2022;15,17
Mujeres;93 Actividades deportivas, recreativas y de entretenimiento;Salario ordinario;2022;13.014,39
Mujeres;94 Actividades asociativas;Salario bruto;2022;21.368,68
Mujeres;94 Actividades asociativas;Pagos extraordinarios;2022;1.694,25
Mujeres;94 Actividades asociativas;Valoración en especie;2022;52,62
Mujeres;94 Actividades asociativas;Salario ordinario;2022;19.621,81
Mujeres;95 Reparación de ordenadores, efectos personales y artículos de uso doméstico;Salario bruto;2022;-20.046,46
Mujeres;95 Reparación de ordenadores, efectos personales y artículos de uso doméstico;Pagos extraordinarios;2022;-1.613,19
Mujeres;95 Reparación de ordenadores, efectos personales y artículos de uso doméstico;Valoración en especie;2022;-144,14
Mujeres;95 Reparación de ordenadores, efectos personales y artículos de uso doméstico;Salario ordinario;2022;-18.289,13
Mujeres;96 Otros servicios personales;Salario bruto;2022;13.691,76
Mujeres;96 Otros servicios personales;Pagos extraordinarios;2022;714,72
Mujeres;96 Otros servicios personales;Valoración en especie;2022;13,27
Mujeres;96 Otros servicios personales;Salario ordinario;2022;12.963,77
Hombres;B_S Todas las divisiones;Salario bruto;2022;29.381,84
Hombres;B_S Todas las divisiones;Pagos extraordinarios;2022;2.980,41
Hombres;B_S Todas las divisiones;Valoración en especie;2022;182,51
Hombres;B_S Todas las divisiones;Salario ordinario;2022;26.218,92
Hombres;B Industrias extractivas;Salario bruto;2022;35.064,02
Hombres;B Industrias extractivas;Pagos extraordinarios;2022;3.566,25
Hombres;B Industrias extractivas;Valoración en especie;2022;114,78
Hombres;B Industrias extractivas;Salario ordinario;2022;31.382,99
Hombres;10 Industria de la alimentación;Salario bruto;2022;26.444,62
Hombres;10 Industria de la alimentación;Pagos extraordinarios;2022;2.405,65
Hombres;10 Industria de la alimentación;Valoración en especie;2022;101,06
Hombres;10 Industria de la alimentación;Salario ordinario;2022;23.937,91
Hombres;11 Fabricación de bebidas;Salario bruto;2022;35.065,13
Hombres;11 Fabricación de bebidas;Pagos extraordinarios;2022;4.396,82
Hombres;11 Fabricación de bebidas;Valoración en especie;2022;321,55
Hombres;11 Fabricación de bebidas;Salario ordinario;2022;30.346,76
Hombres;12 Industria del tabaco;Salario bruto;2022;-49.564,06
Hombres;12 Industria del tabaco;Pagos extraordinarios;2022;-8.422,92
Hombres;12 Industria del tabaco;Valoración en especie;2022;-1.241,65
Hombres;12 Industria del tabaco;Salario ordinario;2022;-39.899,49
Hombres;13 Industria textil;Salario bruto;2022;25.084,01
Hombres;13 Industria textil;Pagos extraordinarios;2022;2.232,4
Hombres;13 Industria textil;Valoración en especie;2022;76,89
Hombres;13 Industria textil;Salario ordinario;2022;22.774,72
Hombres;14 Confección de prendas de vestir;Salario bruto;2022;-28.933,09
Hombres;14 Confección de prendas de vestir;Pagos extraordinarios;2022;-4.162,68
Hombres;14 Confección de prendas de vestir;Valoración en especie;2022;-101,71
Hombres;14 Confección de prendas de vestir;Salario ordinario;2022;-24.668,7
Hombres;15 Industria del cuero y del calzado;Salario bruto;2022;19.921,41
Hombres;15 Industria del cuero y del calzado;Pagos extraordinarios;2022;1.227,9
Hombres;15 Industria del cuero y del calzado;Valoración en especie;2022;52,95
Hombres;15 Industria del cuero y del calzado;Salario ordinario;2022;18.640,56
Hombres;16 Industria de la madera y del corcho, excepto muebles, cestería y espartería;Salario bruto;2022;23.000,29
Hombres;16 Industria de la madera y del corcho, excepto muebles, cestería y espartería;Pagos extraordinarios;2022;2.144,62
Hombres;16 Industria de la madera y del corcho, excepto muebles, cestería y espartería;Valoración en especie;2022;79,86
Hombres;16 Industria de la madera y del corcho, excepto muebles, cestería y espartería;Salario ordinario;2022;20.775,81
Hombres;17 Industria del papel;Salario bruto;2022;32.565,62
Hombres;17 Industria del papel;Pagos extraordinarios;2022;3.723,6
Hombres;17 Industria del papel;Valoración en especie;2022;213,13
Hombres;17 Industria del papel;Salario ordinario;2022;28.628,89
Hombres;18 Artes gráficas y reproducción de soportes grabados;Salario bruto;2022;26.470,07
Hombres;18 Artes gráficas y reproducción de soportes grabados;Pagos extraordinarios;2022;2.453,51
Hombres;18 Artes gráficas y reproducción de soportes grabados;Valoración en especie;2022;63,34
Hombres;18 Artes gráficas y reproducción de soportes grabados;Salario ordinario;2022;23.953,22
Hombres;19 Coquerías y refino de petróleo;Salario bruto;2022;-66.163,69
Hombres;19 Coquerías y refino de petróleo;Pagos extraordinarios;2022;-12.958,79
Hombres;19 Coquerías y refino de petróleo;Valoración en especie;2022;-299,29
Hombres;19 Coquerías y refino de petróleo;Salario ordinario;2022;-52.905,61
Hombres;20 Industria química;Salario bruto;2022;39.395,57
Hombres;20 Industria química;Pagos extraordinarios;2022;5.156,42
Hombres;20 Industria química;Valoración en especie;2022;278,01
Hombres;20 Industria química;Salario ordinario;2022;33.961,14
Hombres;21 Fabricación de productos farmacéuticos;Salario bruto;2022;44.902,29
Hombres;21 Fabricación de productos farmacéuticos;Pagos extraordinarios;2022;7.539,84
Hombres;21 Fabricación de productos farmacéuticos;Valoración en especie;2022;610,27
Hombres;21 Fabricación de productos farmacéuticos;Salario ordinario;2022;36.752,18
Hombres;22 Fabricación de productos de caucho y plásticos;Salario bruto;2022;30.772,54
Hombres;22 Fabricación de productos de caucho y plásticos;Pagos extraordinarios;2022;3.564,81
Hombres;22 Fabricación de productos de caucho y plásticos;Valoración en especie;2022;102,69
Hombres;22 Fabricación de productos de caucho y plásticos;Salario ordinario;2022;27.105,04
Hombres;23 Fabricación de otros productos minerales no metálicos;Salario bruto;2022;32.322,57
Hombres;23 Fabricación de otros productos minerales no metálicos;Pagos extraordinarios;2022;4.548,34
Hombres;23 Fabricación de otros productos minerales no metálicos;Valoración en especie;2022;277,77
Hombres;23 Fabricación de otros productos minerales no metálicos;Salario ordinario;2022;27.496,46
Hombres;24 Metalurgia, fabricación de productos de hierro, acero y ferroaleaciones;Salario bruto;2022;36.845,79
Hombres;24 Metalurgia, fabricación de productos de hierro, acero y ferroaleaciones;Pagos extraordinarios;2022;5.643,37
Hombres;24 Metalurgia, fabricación de productos de hierro, acero y ferroaleaciones;Valoración en especie;2022;173,9
Hombres;24 Metalurgia, fabricación de productos de hierro, acero y ferroaleaciones;Salario ordinario;2022;31.028,52
Hombres;25 Fabricación de productos metálicos, excepto maquinaria y equipo;Salario bruto;2022;27.383,14
Hombres;25 Fabricación de productos metálicos, excepto maquinaria y equipo;Pagos extraordinarios;2022;2.402,83
Hombres;25 Fabricación de productos metálicos, excepto maquinaria y equipo;Valoración en especie;2022;78,76
Hombres;25 Fabricación de productos metálicos, excepto maquinaria y equipo;Salario ordinario;2022;24.901,55
Hombres;26 Fabricación de productos informáticos, electrónicos y ópticos;Salario bruto;2022;36.274,22
Hombres;26 Fabricación de productos informáticos, electrónicos y ópticos;Pagos extraordinarios;2022;3.868,02
Hombres;26 Fabricación de productos informáticos, electrónicos y ópticos;Valoración en especie;2022;213,31
Hombres;26 Fabricación de productos informáticos, electrónicos y ópticos;Salario ordinario;2022;32.192,89
Hombres;27 Fabricación de material y equipo eléctrico;Salario bruto;2022;35.961,3
Hombres;27 Fabricación de material y equipo eléctrico;Pagos extraordinarios;2022;4.433,45
Hombres;27 Fabricación de material y equipo eléctrico;Valoración en especie;2022;238,32
Hombres;27 Fabricación de material y equipo eléctrico;Salario ordinario;2022;31.289,53
Hombres;28 Fabricación de maquinaria y equipo n.c.o.p.;Salario bruto;2022;33.934,06
