DATAFLOW,LAST UPDATE,freq,currency,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Armenia,2005,52060,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Armenia,2006,62293,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Armenia,2007,74227,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Armenia,2008,87406,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Armenia,2009,96019,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Armenia,2010,102652,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Armenia,2011,108092,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Armenia,2012,140739,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Armenia,2013,146524,bp,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Armenia,2014,158580,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Armenia,2015,171615,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Armenia,2016,174445,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Armenia,2017,166004,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Armenia,2018,172727,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Armenia,2019,182673,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Armenia,2020,189716,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Armenia,2021,204048,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Azerbaijan,2005,124,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Azerbaijan,2006,149,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Azerbaijan,2007,216,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Azerbaijan,2008,274,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Azerbaijan,2009,298,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Azerbaijan,2010,332,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Azerbaijan,2011,364,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Azerbaijan,2012,398,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Azerbaijan,2013,425,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Azerbaijan,2014,445,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Azerbaijan,2015,467,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Azerbaijan,2016,500,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Azerbaijan,2017,529,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Azerbaijan,2018,545,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Azerbaijan,2019,635,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Azerbaijan,2020,708,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Azerbaijan,2021,732,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Azerbaijan,2022,840,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Azerbaijan,2023,934,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Azerbaijan,2024,1009,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Belarus,2005,463741,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Belarus,2006,582166,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Belarus,2007,694045,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Belarus,2008,868169,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Belarus,2009,981584,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Belarus,2010,1217313,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Belarus,2011,1899782,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Belarus,2012,3676083,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Belarus,2013,5061418,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Belarus,2014,6052367,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Belarus,2015,6714997,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Belarus,2016,723,b,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Belarus,2017,823,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Belarus,2018,971,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Belarus,2019,1093,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Belarus,2020,1255,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Georgia,2005,204,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Georgia,2006,278,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Georgia,2007,368,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Georgia,2008,535,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Georgia,2009,557,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Georgia,2010,598,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Georgia,2011,636,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Georgia,2012,713,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Georgia,2013,773,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Georgia,2014,818,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Georgia,2015,900,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Georgia,2016,940,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Georgia,2017,999,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Georgia,2018,1068,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Georgia,2019,1129,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Georgia,2020,1191,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Georgia,2021,1305,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Georgia,2022,1543,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Georgia,2023,1767,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Georgia,2024,1971,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Moldova,2005,1319,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Moldova,2006,1697,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Moldova,2007,2065,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Moldova,2008,2530,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Moldova,2009,2748,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Moldova,2010,2972,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Moldova,2011,3042,b,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Moldova,2012,3386,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Moldova,2013,3674,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Moldova,2014,4090,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Moldova,2015,4538,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Moldova,2016,4998,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Moldova,2017,5587,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Moldova,2018,6268,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Moldova,2019,7234,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Moldova,2020,7943,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Moldova,2021,8980,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Moldova,2022,10447,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Moldova,2023,12209,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Moldova,2024,13990,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Ukraine,2005,806,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Ukraine,2006,1041,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Ukraine,2007,1351,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Ukraine,2008,1806,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Ukraine,2009,1906,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Ukraine,2010,2239,b,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Ukraine,2011,2633,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Ukraine,2012,3026,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Ukraine,2013,3265,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Ukraine,2014,3480,b,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Ukraine,2015,4195,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Ukraine,2016,5183,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Ukraine,2017,7104,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Ukraine,2018,8865,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Ukraine,2019,10497,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Ukraine,2020,11591,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Ukraine,2021,14014,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Ukraine,2022,14847,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Ukraine,2023,17442,,
ESTAT:ENPE_WG_M(1.0),03/02/26 23:00:00,Annual,National currency,Ukraine,2024,21473,,
